epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2398,1.15171,3.21501,1.27393,0.37738,0.52359,0.36402,0.26529,1.14523,2.51181,1.21836,0.000254003,0.000254003,0.000254003
2,110.419,1.25175,2.34184,1.34487,0.37865,0.56034,0.48284,0.34466,1.16876,2.69325,1.26284,0.000500232,0.000500232,0.000500232
3,162.728,1.2542,2.11822,1.35707,0.32066,0.42889,0.35414,0.2353,1.24741,2.28222,1.3198,0.00073631,0.00073631,0.00073631
4,216.718,1.23823,1.98624,1.34134,0.56567,0.46776,0.49152,0.35658,1.21169,2.09796,1.2932,0.000723321,0.000723321,0.000723321
5,274.522,1.2147,1.85431,1.32928,0.50328,0.4883,0.47769,0.32198,1.17403,2.63844,1.26666,0.000708095,0.000708095,0.000708095
6,338.018,1.1808,1.81697,1.3179,0.46958,0.49023,0.47332,0.30815,1.25095,2.01876,1.32989,0.000692869,0.000692869,0.000692869
7,400.141,1.16097,1.69288,1.29389,0.57752,0.44816,0.49865,0.34992,1.25573,1.97571,1.35135,0.000677643,0.000677643,0.000677643
8,459.74,1.1395,1.68186,1.27169,0.52106,0.54719,0.53184,0.38274,1.14258,1.84917,1.24944,0.000662417,0.000662417,0.000662417
9,518.806,1.12657,1.6044,1.25724,0.33543,0.54953,0.4854,0.34723,1.20125,2.12014,1.31525,0.00064719,0.00064719,0.00064719
10,579.214,1.08974,1.57298,1.23997,0.56882,0.51677,0.53417,0.38356,1.11859,1.71897,1.23972,0.000631964,0.000631964,0.000631964
11,898.685,1.06902,1.56682,1.22804,0.70643,0.4669,0.54009,0.38315,1.18245,1.74304,1.34713,0.000616738,0.000616738,0.000616738
12,969.991,1.05207,1.46609,1.21955,0.5616,0.50815,0.5076,0.38407,1.16928,1.74604,1.28565,0.000601512,0.000601512,0.000601512
13,1021.88,1.05683,1.43996,1.21996,0.73372,0.48749,0.52204,0.36798,1.13976,1.78337,1.2708,0.000586286,0.000586286,0.000586286
